Scan	Temp(C)	Center	Layer
23	174.0935	0.13103	47.9522651849163
24	169.1628	0.12964	48.466409342638
25	164.2618	0.12845	48.915416949627
26	159.4131	0.12741	49.3146951352295
27	154.5503	0.12651	49.6655229403176
28	149.6423	0.12563	50.0134148466098
29	144.7234	0.1248	50.346036115221
30	139.8336	0.124	50.6708492514483
33	134.9179	0.12321	50.9957414753639
34	130.0135	0.12248	51.2996840886642
35	128.0526	0.12217	51.4298543601505
36	126.0799	0.12189	51.5479966131724
37	125.1024	0.12173	51.6157504902619
38	122.5085	0.12157	51.6836827110273
39	121.3154	0.1214	51.7560568960427
40	120.3033	0.12122	51.8329096451047
41	119.3104	0.12105	51.9057026615414
42	118.3005	0.12084	51.9959062163157
43	117.3168	0.12066	52.0734734558229
44	116.3094	0.12045	52.164261578909
45	115.3017	0.12019	52.2771054761593
46	114.3059	0.11996	52.3773366720539
47	113.3117	0.11976	52.4648071741782
48	112.3191	0.11959	52.5393871325327
49	111.3227	0.11943	52.6097739862646
50	110.3283	0.11929	52.6715173709413
51	109.3351	0.11914	52.7378320226589
52	108.3397	0.11898	52.8087519514169
53	107.3457	0.11883	52.8754128349708
54	106.3524	0.11871	52.9288628353095
55	105.3635	0.11858	52.9868890806172
56	104.365	0.11846	53.0405648082018
57	103.3695	0.11834	53.0943493931011
58	102.3791	0.11823	53.1437478404769
59	101.3837	0.11813	53.1887353524049
60	100.3894	0.11804	53.2292892848152
61	99.4101	0.11795	53.2699051053801
62	98.4025	0.11787	53.3060601270857
63	97.4424	0.11777	53.3513229785139
64	96.4382	0.11769	53.3875886411725
65	95.4328	0.1176	53.4284464896223
66	94.4455	0.11754	53.4557198160591
67	93.4657	0.11748	53.4830210008477
68	92.4738	0.1174	53.5194659896046
69	91.4844	0.11736	53.5377071163905
70	90.4826	0.11729	53.5696590261709
71	89.4915	0.11723	53.5970767480985
72	88.4778	0.11717	53.6245225499666
73	86.4814	0.11712	53.6474155326126
74	84.47	0.11701	53.697848963162
75	82.5119	0.11693	53.7345874213597
77	80.4983	0.11684	53.7759783223176
78	78.502	0.11678	53.8036076997738
79	76.4974	0.11671	53.8358778783274
80	74.5076	0.11663	53.8728055147011
81	72.5062	0.11657	53.9005345044144
82	70.519	0.1165	53.9329210916703
83	68.5179	0.11643	53.9653466218293
84	66.5613	0.11635	54.0024521459354
85	64.57	0.11638	53.9885315963188
85	64.57	0.11952	52.5701581926003
86	62.6255	0.11637	53.9931709820365
86	62.6255	0.11948	52.5877578438198
87	61.6186	0.11634	54.007093924528
87	61.6186	0.1197	52.4911053231377
88	60.6284	0.11626	54.044256899876
88	60.6284	0.11975	52.4691883689318
91	58.6468	0.11501	54.6316433977879
91	58.6468	0.11992	52.3948074314509
92	56.6141	0.11504	54.6173966201285
92	56.6141	0.11998	52.3686056607733
93	54.6279	0.11506	54.607902895703
93	54.6279	0.12004	52.3424300831355
94	52.6595	0.11521	54.5368050271642
94	52.6595	0.12009	52.3206370820184
95	50.6727	0.11528	54.5036893405585
95	50.6727	0.12016	52.2901573500298
96	48.6928	0.11538	54.4564509202599
96	48.6928	0.1202	52.272756299331
97	46.6699	0.11544	54.4281471515903
97	46.6699	0.12029	52.2336462480637
98	44.7041	0.11555	54.3763332512297
98	44.7041	0.12037	52.1989308563561
99	42.707	0.1155	54.3998727894336
99	42.707	0.12044	52.1685927198571
100	40.6798	0.11574	54.28706849127
100	40.6798	0.1205	52.142616657092
101	38.6615	0.11581	54.2542553076555
101	38.6615	0.12057	52.1123439261805
102	36.7426	0.11591	54.2074480819566
102	36.7426	0.12063	52.0864238346977
103	34.7178	0.116	54.1653905791344
103	34.7178	0.12069	52.060529515118
104	32.6723	0.11611	54.1140755075324
104	32.6723	0.12076	52.0303519971811
105	30.2784	0.11601	54.1607215514144
105	30.2784	0.12082	52.0045133850322
106	28.7307	0.11619	54.0768164831706
106	28.7307	0.12087	51.9830008040009
