Long Name,T,d,T,d,T,d
Comments,RSOXS 2 layer,RSOXS 2 layer,RSOXS 3 layer,RSOXS 3 layer,XRD 1 layer,XRD 1 layer
1,--,--,--,--,174.0935,47.9522651849163
2,--,--,--,--,169.1628,48.466409342638
3,26.9,110.502731396053,--,--,164.2618,48.915416949627
4,27.8,110.405645882614,--,--,159.4131,49.3146951352295
5,28.7,110.366859427008,--,--,154.5503,49.6655229403176
6,29.7,110.386765417966,--,--,149.6423,50.0134148466098
7,30.7,110.387022055081,--,--,144.7234,50.346036115221
8,31.6,110.405645882614,--,--,139.8336,50.6708492514483
9,32.6,110.386249247709,--,--,134.9179,50.9957414753639
10,33.5,110.370035703707,--,--,130.0135,51.2996840886642
11,34.5,110.328492931844,--,--,128.0526,51.4298543601505
12,35.4,110.319107290595,--,--,126.0799,51.5479966131724
13,36.4,110.332751838937,--,--,125.1024,51.6157504902619
14,37.3,110.2608090438,--,--,122.5085,51.6836827110273
15,38.3,110.249609634294,--,--,121.3154,51.7560568960427
16,39.3,110.224682643022,--,--,120.3033,51.8329096451047
17,40.2,110.162580851836,--,--,119.3104,51.9057026615414
18,41.2,110.125716584637,--,--,118.3005,51.9959062163157
19,42.1,110.060079782672,--,--,117.3168,52.0734734558229
20,43.1,109.9961524801,--,--,116.3094,52.164261578909
21,44.1,109.943920127833,--,--,115.3017,52.2771054761593
22,45,109.881057239523,--,--,114.3059,52.3773366720539
23,46,109.830142315614,--,--,113.3117,52.4648071741782
24,46.9,109.761941494307,--,--,112.3191,52.5393871325327
25,47.9,109.71457243315,--,--,111.3227,52.6097739862646
26,48.8,109.657683952771,--,--,110.3283,52.6715173709413
27,49.8,109.609856908145,--,--,109.3351,52.7378320226589
28,50.7,109.560871152949,--,--,108.3397,52.8087519514169
29,51.7,109.51915811747,--,--,107.3457,52.8754128349708
30,52.6,109.488316335482,--,--,106.3524,52.9288628353095
31,53.6,109.43886267359,--,--,105.3635,52.9868890806172
32,54.6,109.395463672001,--,--,104.365,53.0405648082018
33,55.5,109.324443084347,--,--,103.3695,53.0943493931011
34,56.5,109.301489164765,--,--,102.3791,53.1437478404769
35,57.4,109.24202750172,--,--,101.3837,53.1887353524049
36,58.4,109.180625924881,--,--,100.3894,53.2292892848152
37,59.3,109.139764897107,--,--,99.4101,53.2699051053801
38,60.3,109.077838721898,--,--,98.4025,53.3060601270857
39,61.3,109.021470915184,--,--,97.4424,53.3513229785139
40,62.2,108.981035124155,--,--,96.4382,53.3875886411725
41,63.1,108.934614483467,--,--,95.4328,53.4284464896223
42,64.1,108.882606781563,--,--,94.4455,53.4557198160591
43,65.1,108.859896495888,--,--,93.4657,53.4830210008477
44,66,108.801209852372,--,--,92.4738,53.5194659896046
45,67,108.746176557436,--,--,91.4844,53.5377071163905
46,67.9,108.677409416675,--,--,90.4826,53.5696590261709
47,68.9,108.630948296629,--,--,89.4915,53.5970767480985
48,69.8,108.584582270333,--,--,88.4778,53.6245225499666
49,70.8,108.515758482024,--,--,86.4814,53.6474155326126
50,71.7,108.451301923452,--,--,84.47,53.697848963162
51,72.7,108.369752975449,--,--,82.5119,53.7345874213597
52,73.6,108.302166851877,--,--,80.4983,53.7759783223176
53,74.6,108.240909065956,--,--,78.502,53.8036076997738
54,75.6,108.16740620667,--,--,76.4974,53.8358778783274
55,76.5,108.111611416634,--,--,74.5076,53.8728055147011
56,77.5,108.053973083144,--,--,72.5062,53.9005345044144
57,78.4,107.963635001035,--,--,70.519,53.9329210916703
