,cyclePoint,Contrast,Intensity Ste,Theta mean,Theta ste,NormContrast,Volt,E
0,0.0,7.039375000000021,0.10855026068603152,2.017792791459701,0.05618358468994038,7.039375000000021,0.6253369272237215,0.13896376160527144
1,1.0,10.598835714285713,0.1418300064179441,3.0412879790392786,0.05406509802381216,10.598835714285713,1.250673854447443,0.27792752321054287
2,2.0,13.981075000000004,0.1595396261088835,4.017429589805737,0.38849666469818667,13.981075000000004,1.8760107816711649,0.4168912848158144
3,3.0,18.092874999999992,0.14865990710784854,5.210604336188282,0.16646644912026629,18.092874999999992,2.501347708894886,0.5558550464210857
4,4.0,20.841710714285725,0.1409156476020762,6.01326692245501,0.12145398161582964,20.841710714285725,3.1266846361186076,0.6948188080263572
5,5.0,23.967921428571444,0.09951268056371274,6.932024034707338,0.444172968231167,23.967921428571444,3.7520215633423297,0.8337825696316288
6,6.0,25.41538571428572,0.12608663380649157,7.359831788232427,0.23094438160382594,25.41538571428572,4.377358490566018,0.9727463312368929
7,7.0,25.458328571428538,0.1433791480670896,7.372549003199056,0.22280495828409652,25.458328571428538,5.002695417789772,1.1117100928421715
8,8.0,25.12614642857143,0.08013939541120793,7.274214157593315,0.31418170137536555,25.12614642857143,5.628032345013461,1.2506738544474356
9,9.0,25.545160714285714,0.12890169470334054,7.398268254327601,0.20843904732346286,25.545160714285714,6.253369272237215,1.3896376160527144
10,10.0,25.640449999999987,0.10872986389982797,7.4264994910658695,0.1953079929685705,25.640449999999987,6.878706199460904,1.5286013776579788
11,11.0,27.92611785714287,0.13118912459765805,8.105960296273302,0.1594140472909574,27.92611785714287,7.504043126684625,1.66756513926325
12,12.0,28.489271428571442,0.11454055889248427,8.274074923466426,0.21340537904321777,28.489271428571442,8.129380053908347,1.8065289008685217
13,13.0,30.95346428571429,0.17074491030179487,9.013247012602992,0.22754863883587628,30.95346428571429,8.754716981132068,1.945492662473793
14,14.0,33.19160714285711,0.1027991272454143,9.69002028896843,0.19235286774270316,33.19160714285711,9.380053908355789,2.084456424079064
16,16.0,37.97377500000001,0.10603801531638167,11.155759973915398,0.19999724111888809,37.97377500000001,10.630727762803232,2.362383947289607
18,18.0,41.50117142857143,0.13445597448014313,12.256738226991958,0.2547614490474074,41.50117142857143,11.881401617250676,2.64031147050015
19,19.0,43.04171428571432,0.14039426315310852,12.743579894033608,0.22941276953081072,43.04171428571432,12.506738544474397,2.7792752321054213
20,20.0,45.30837142857143,0.10074630220373591,13.467187874878487,0.9899091344238691,45.30837142857143,13.13207547169812,2.918238993710693
21,21.0,44.132146428571424,0.11675160251109315,13.090567154577107,0.44212622422079306,44.132146428571424,13.75741239892184,3.0572027553159646
22,22.0,44.463017857142844,0.14774330442732106,13.196261019678024,0.7262763104987118,44.463017857142844,14.382749326145563,3.1961665169212363
23,23.0,42.78220714285714,0.07418788482006336,12.661298552314875,0.21777021365319113,42.78220714285714,15.00808625336925,3.3351302785265
24,24.0,40.19882857142857,0.11897125526180041,11.848102012045775,1.5011904539033678,40.19882857142857,15.633423180593006,3.4740940401317792
25,25.0,37.47020357142856,0.1496101758623508,11.000035074578612,0.18731131872342,37.47020357142856,16.258760107816695,3.6130578017370434
26,26.0,34.255814285714266,0.08119297342065403,10.013774451459764,0.4473485330379094,34.255814285714266,16.884097035040448,3.7520215633423217
28,28.0,25.94997857142856,0.11438524707906787,7.518254224576202,0.1656844441692623,25.94997857142856,18.134770889487857,4.0299490865528576
29,29.0,22.748814285714275,0.10953403392468694,6.572932190506964,0.13590296586874076,22.748814285714275,18.760107816711578,4.168912848158128
30,30.0,20.57980357142857,0.08188570552878977,5.936593334450513,0.13373772597802072,20.57980357142857,19.385444743935302,4.307876609763401
31,31.0,18.63800714285715,0.09726166002211309,5.369434294312345,0.3669484122818494,18.63800714285715,20.010781671159023,4.446840371368672
32,32.0,17.92140714285715,0.08668674949320931,5.160679082962744,0.143499302450025,17.92140714285715,20.636118598382744,4.585804132973943
33,33.0,17.0488142857143,0.07467247358577711,4.90685343517796,0.09210112023338787,17.0488142857143,21.261455525606465,4.724767894579214
34,34.0,17.174967857142846,0.11978728958694979,4.943525299590321,0.09592097094922654,17.174967857142846,21.886792452830186,4.863731656184486
35,35.0,17.704796428571427,0.12397511989451734,5.097632482159822,0.12333501820544675,17.704796428571427,22.51212938005391,5.002695417789758
36,36.0,18.64523571428569,0.06712662321658051,5.371541525476288,0.37308398815387395,18.64523571428569,23.13746630727763,5.141659179395029
38,38.0,21.488057142857144,0.09054368049556084,6.202674001527976,0.10882096928883707,21.488057142857144,24.388140161725072,5.419586702605572
39,39.0,23.534521428571438,0.22158402735679972,6.804240492619557,0.23323392458143624,23.534521428571438,25.013477088948793,5.5585504642108425
40,40.0,25.258389285714273,0.14761491894449458,7.31335103552284,0.26851542681055107,25.258389285714273,25.638814016172518,5.697514225816115
41,41.0,28.655892857142845,0.21313087601468128,8.323871314261725,0.24279934235835202,28.655892857142845,26.26415094339624,5.836477987421386
42,42.0,31.964232142857156,0.21478652694108896,9.318215419929336,0.16347971596736108,31.964232142857156,26.889487870619927,5.9754417490266505
43,43.0,36.16542499999999,0.1888670999222208,10.598115104997008,0.2581329478855601,36.16542499999999,27.51482479784368,6.114405510631929
45,45.0,44.33214285714286,0.19398891864894163,13.154431156396747,0.5763330910629801,44.33214285714286,28.765498652291093,6.3923330338424655
46,46.0,47.95350714285714,0.19075735314923653,14.323580595578672,0.2573895362575914,47.95350714285714,29.390835579514814,6.531296795447736
47,47.0,51.85480357142858,0.24430740786583732,15.61308095969959,0.2639469634205939,51.85480357142858,30.016172506738535,6.670260557053008
48,48.0,52.14996785714286,0.19421902199629695,15.712043776103254,0.26069289360963427,52.14996785714286,30.641509433962256,6.809224318658279
49,49.0,52.878596428571434,0.10109259424701954,15.957240113722774,0.30096089026024697,52.878596428571434,31.266846361185976,6.9481880802635505
50,50.0,52.65001785714286,0.1775339194013983,15.880179784834885,0.27960591390008005,52.65001785714286,31.8921832884097,7.087151841868822
51,51.0,54.72859285714284,0.16215755941873777,16.58579282050209,1.488339231312943,54.72859285714284,32.517520215633425,7.226115603474095
52,52.0,55.40003928571429,0.13328973160424218,16.81614812463129,0.4602800175745991,55.40003928571429,33.14285714285714,7.365079365079364
53,53.0,57.17621071428572,0.19915010839989408,17.43157260872881,0.29969744869892306,57.17621071428572,33.76819407008087,7.504043126684637
54,54.0,57.854846428571406,0.19090808146248212,17.669142993235997,0.4071114694008534,57.854846428571406,34.39353099730458,7.643006888289907
55,55.0,57.654771428571436,0.1462211266047168,17.598958401764094,0.35941677462567406,57.654771428571436,35.01886792452831,7.78197064989518
56,56.0,59.69176428571428,0.14572179748346456,18.31936468675899,0.610768172271046,59.69176428571428,35.64420485175203,7.9209344115004505
57,57.0,60.2048857142857,0.11571770802807112,18.502952550826695,0.3912484857789409,60.2048857142857,36.26954177897575,8.059898173105722
58,58.0,62.61421071428572,0.10291553416813995,19.377242430127332,0.6349974049588964,62.61421071428572,36.89487870619947,8.198861934710994
59,59.0,62.735728571428595,0.15403769152165012,19.421899724044906,0.7587139250224716,62.735728571428595,37.52021563342319,8.337825696316266
60,60.0,62.27021785714286,0.18512884981113945,19.251128085081692,0.44823064657168465,62.27021785714286,38.14555256064691,8.476789457921535
61,61.0,66.23697857142858,0.21493508819043264,20.734054581447253,0.40899262439274886,66.23697857142858,38.770889487870605,8.615753219526802
62,62.0,65.42034642857143,0.16910442785898816,20.42340380622645,0.3270254958464421,65.42034642857143,39.396226415094354,8.754716981132079
63,63.0,64.6810785714286,0.14919072117783616,20.144674524218868,0.37957055968055,64.6810785714286,40.021563342318046,8.893680742737343
64,64.0,65.92864642857144,0.20215036949915718,20.61641698000778,0.3566293745246477,65.92864642857144,40.64690026954177,9.032644504342615
