date,film N.,voltage,ave velocity,Frame Rate,ave velocity (mm/s),offset voltage,v-voff,use
2017-06-21,1,2.005,0.006358451,1000,6.358451,1.11,0.895,1
2017-06-21,1,2.022,0.008963621,1000,8.963621,1.11,0.912,1
2017-06-21,1,2.04,0.007287203,1000,7.287203,1.11,0.93,1
2017-06-21,1,2.06,0.009312976,1000,9.312976,1.11,0.95,1
2017-06-21,1,2.082,0.012326717,1000,12.326717,1.11,0.972,1
2017-06-21,1,2.104,0.016432697,0,0,1.11,0.994,0
2017-06-26,1,1.2258,0.004528494,1000,4.528494,1.119,0.1068,1
2017-06-26,1,1.233,0.005086387,1000,5.086387,1.119,0.114,1
2017-06-26,1,1.245,0.005201883,1000,5.201883,1.119,0.126,1
2017-06-26,1,1.26,0.012379892,0,0,1.119,0.141,0
2017-06-26,1,1.27,0.016434563,1000,16.434563,1.119,0.151,1
2017-06-26,1,1.2825,0.004972575,1500,7.4588625,1.119,0.1635,1
2017-06-26,1,1.285,0.017997814,1500,26.996721,1.119,0.166,1
2017-06-27,1,1.21,0.004177557,500,2.0887785,1.123,0.087,1
2017-06-27,2,1.221,0.008093466,500,4.046733,1.123,0.098,1
2017-06-27,2,1.235,0.017801858,500,8.900929,1.119,0.116,1
2017-06-27,3,1.245,0.010396441,1000,10.396441,1.112,0.133,1
2017-06-27,3,1.266,0.01967635,1000,19.67635,1.118,0.148,1
2017-06-27,4,1.284,0.025258426,1000,25.258426,1.118,0.166,1
2017-06-27,5,1.277,0.031951771,1000,31.951771,1.118,0.159,1
2017-06-27,6,1.308,0.021750804,1500,32.626206,1.117,0.191,1
2017-06-27,6,1.314,0.023794763,1500,35.6921445,1.117,0.197,1
2017-06-27,6,1.321,0.025620958,1500,38.431437,1.117,0.204,1
2017-06-27,6,1.327,0.027099143,1500,40.6487145,1.117,0.21,1
2017-06-28,1,1.216,0.005019027,500,2.5095135,1.117,0.099,1
2017-06-28,1,1.218,0.005369841,500,2.6849205,1.117,0.101,1
2017-06-28,1,1.223,0.007369483,500,3.6847415,1.117,0.106,1
2017-06-28,1,1.227,0.009042485,500,4.5212425,1.117,0.11,1
2017-06-28,1,1.23,0.010054266,500,5.027133,1.117,0.113,1
2017-06-28,1,1.231,0.006295403,1000,6.295403,1.117,0.114,1
2017-06-28,1,1.239,0.016694618,1000,16.694618,1.117,0.122,1
2017-06-28,1,1.244,0.007093852,1500,10.640778,1.117,0.127,1
2017-06-28,1,1.251,0.008708688,1500,13.063032,1.117,0.134,1
2017-06-28,1,1.261,0.011000201,1500,16.5003015,1.117,0.144,1
2017-06-28,1,1.263,0.013479278,1500,20.218917,1.117,0.146,1
2017-06-28,1,1.267,0.014089387,1500,21.1340805,1.117,0.15,1
2017-06-28,1,1.275,0.016528696,1500,24.793044,1.117,0.158,1
