,date,film N.,voltage,ave velocity,aveV calc,maxV calc,Frame Rate,ave velocity (mm/s),offset voltage,v-voff,use,maxV error
87,2017-06-21,1,2.005,0.006358451,0.005716858,0.008575287,1000,5.716857982,1.11,0.895,1,0.0005623
86,2017-06-21,1,2.022,0.008963621,0.007258422,0.010887633,1000,7.258422101,1.11,0.912,1,0.000291787
88,2017-06-21,1,2.04,0.007287203,0.006474863,0.009712294,1000,6.474862891,1.11,0.93,1,0.004178473
89,2017-06-21,1,2.06,0.009312976,0.008176094,0.01226414,1000,8.176093525,1.11,0.95,1,0.027389021
90,2017-06-21,1,2.082,0.012326717,0.010681812,0.016022718,1000,10.6818117,1.11,0.972,1,0.002570921
91,2017-06-21,1,2.104,0.016432697,0.013113933,0.019670899,0,0,1.11,0.994,0,0.001979086
92,2017-06-26,1,1.2258,0.004528494,0.001835863,0.002753795,1000,1.835863173,1.119,0.1068,1,0.682394806
93,2017-06-26,1,1.233,0.005086387,0.004678606,0.00701791,1000,4.678606445,1.119,0.114,1,0.000799787
94,2017-06-26,1,1.245,0.005201883,0.004444914,0.006667371,1000,4.444913744,1.119,0.126,1,0.00040057
96,2017-06-26,1,1.26,0.012379892,0.011253032,0.016879549,0,0,1.119,0.141,0,0.002126644
95,2017-06-26,1,1.27,0.016434563,0.014924971,0.022387457,1000,14.92497117,1.119,0.151,1,0.003740476
97,2017-06-26,1,1.2825,0.004972575,0.004266563,0.006399845,1500,6.399845021,1.119,0.1635,1,0.002579556
98,2017-06-26,1,1.285,0.017997814,0.016173478,0.024260217,1500,24.26021724,1.119,0.166,1,0.014945014
99,2017-06-27,1,1.21,0.004177557,0.004546761,0.006820141,500,2.273380382,1.123,0.087,1,0.196081522
100,2017-06-27,2,1.221,0.008093466,0.007604732,0.011407099,500,3.802366208,1.123,0.098,1,0.007375813
101,2017-06-27,2,1.235,0.017801858,0.015966767,0.023950151,500,7.983383587,1.119,0.116,1,0.006277529
102,2017-06-27,3,1.245,0.010396441,0.009222595,0.013833892,1000,9.222594543,1.112,0.133,1,0.003474148
103,2017-06-27,3,1.266,0.01967635,0.018333598,0.027500397,1000,18.33359791,1.118,0.148,1,0.013076237
106,2017-06-27,4,1.284,0.025258426,0.022470225,0.033705338,1000,22.4702254,1.118,0.166,1,0.030274241
104,2017-06-27,5,1.277,0.031951771,0.029538791,0.044308187,1000,29.53879129,1.118,0.159,1,0.031243434
105,2017-06-27,5,1.289,0.03967173,0.035708842,0.053563263,0,0,1.117,0.172,0,0.256363323
107,2017-06-27,6,1.308,0.021750804,0.019910411,0.029865617,1500,29.8656166,1.117,0.191,1,0.009957775
108,2017-06-27,6,1.314,0.023794763,0.020400838,0.030601257,1500,30.60125709,1.117,0.197,1,0.040298153
109,2017-06-27,6,1.321,0.025620958,0.022549164,0.033823746,1500,33.82374554,1.117,0.204,1,0.014641983
110,2017-06-27,6,1.327,0.027099143,0.023536668,0.035305002,1500,35.30500234,1.117,0.21,1,0.015849412
111,2017-06-28,1,1.216,0.005019027,0.004035706,0.006053559,500,2.017852873,1.117,0.099,1,0.000712016
115,2017-06-28,1,1.218,0.005369841,0.004437883,0.006656825,500,2.218941697,1.117,0.101,1,0.003052576
114,2017-06-28,1,1.223,0.007369483,0.006145651,0.009218477,500,3.072825603,1.117,0.106,1,0.003105611
112,2017-06-28,1,1.227,0.009042485,0.007579865,0.011369797,500,3.7899323,1.117,0.11,1,0.001902981
113,2017-06-28,1,1.23,0.010054266,0.008510663,0.012765995,500,4.255331517,1.117,0.113,1,0.001221196
133,2017-06-28,1,1.231,0.006295403,0.00534812,0.00802218,1000,5.348120264,1.117,0.114,1,0.000158624
134,2017-06-28,1,1.239,0.016694618,0.015336829,0.023005243,1000,15.33682874,1.117,0.122,1,0.857690911
123,2017-06-28,1,1.244,0.007093852,0.006295167,0.009442751,1500,9.442751161,1.117,0.127,1,0.002356685
119,2017-06-28,1,1.251,0.008708688,0.007406281,0.011109422,1500,11.10942186,1.117,0.134,1,0.010088363
117,2017-06-28,1,1.261,0.011000201,0.009959505,0.014939257,1500,14.93925739,1.117,0.144,1,0.012895122
127,2017-06-28,1,1.263,0.013479278,0.012050012,0.018075018,1500,18.0750184,1.117,0.146,1,0.006910951
118,2017-06-28,1,1.267,0.014089387,0.012336832,0.018505248,1500,18.50524772,1.117,0.15,1,0.001226042
121,2017-06-28,1,1.275,0.016528696,0.015316289,0.022974433,1500,22.97443302,1.117,0.158,1,0.001645297
120,2017-06-28,1,1.281,0.017200175,0.015831176,0.023746765,1500,23.74676455,1.117,0.164,1,0.029662511
125,2017-06-28,1,1.282,0.019003674,0.017082594,0.025623892,1500,25.62389175,1.117,0.165,1,0.002897362
116,2017-06-28,1,1.285,0.017604313,0.016339716,0.024509574,1500,24.50957364,1.117,0.168,1,0.003340911
122,2017-06-28,1,1.296,0.020135165,0.018213071,0.027319607,1500,27.31960668,1.117,0.179,1,0.006083552
124,2017-06-28,1,1.301,0.020178458,0.018881799,0.028322698,1500,28.32269788,1.117,0.184,1,0.010187276
131,2017-06-28,1,1.31,0.017977917,0.015894775,0.023842162,2000,31.78954974,1.117,0.193,1,0.022462611
126,2017-06-28,1,1.311,0.022622661,0.020163734,0.0302456,1500,30.24560036,1.117,0.194,1,0.009639561
132,2017-06-28,1,1.314,0.01776613,0.015558124,0.023337186,2000,31.11624747,1.117,0.197,1,0.016663017
128,2017-06-28,1,1.325,0.018267306,0.016844899,0.025267349,2000,33.68979831,1.117,0.208,1,0.008678808
129,2017-06-28,1,1.327,0.019668544,0.017038307,0.02555746,2000,34.07661314,1.117,0.21,1,0.010187463
130,2017-06-28,1,1.328,0.019439097,0.016875419,0.025313129,2000,33.75083814,1.117,0.211,1,0.045244419
135,2017-06-28,2,1.215,0.005519514,0.002015393,0.00302309,1000,2.015393198,1.117,0.098,1,0.329169828
136,2017-06-28,2,1.226,0.007055807,0.006372234,0.009558351,1000,6.37223424,1.117,0.109,1,0.050090536
137,2017-06-28,2,1.338,0.018097769,0.01637119,0.024556786,2500,40.92797601,1.117,0.221,1,0.004444551
138,2017-06-29,1,1.21,0.002975495,0.002537273,0.00380591,500,1.268636673,1.119,0.091,1,0.002136244
139,2017-06-29,1,1.225,0.007931018,0.00806178,0.01209267,500,4.030889889,1.119,0.106,1,0.002806495
140,2017-06-29,1,1.238,0.009974808,0.008741507,0.01311226,500,4.370753266,1.12,0.118,1,0.002359314
141,2017-06-29,1,1.242,0.013612124,0.011062022,0.016593032,500,5.531010758,1.2,0.142,1,0.011565975
146,2017-06-29,1,1.252,0.008221693,0.006879833,0.01031975,1000,6.87983308,1.12,0.132,1,0.027222188
147,2017-06-29,1,1.263,0.011930948,0.010164902,0.015247353,1000,10.16490167,1.12,0.143,1,0.017900974
152,2017-06-29,1,1.266,0.01696456,0.015077973,0.02261696,1500,22.61696019,1.12,0.146,1,0.001873589
148,2017-06-29,1,1.268,0.015973538,0.013507992,0.020261988,1000,13.50799174,1.12,0.148,1,0.069656928
149,2017-06-29,1,1.28,0.022419321,0.018142362,0.027213543,1000,18.14236204,1.12,0.16,1,0.03900603
150,2017-06-29,1,1.291,0.030047789,0.023736327,0.03560449,1000,23.73632691,1.12,0.171,1,0.006741669
153,2017-06-29,1,1.307,0.020975256,0.020393857,0.030590785,2000,40.78771387,1.12,0.187,1,0.005787054
154,2017-06-29,1,1.313,0.024455585,0.021774044,0.032661066,2000,43.54808815,1.12,0.193,1,0.002914153
155,2017-06-29,1,1.323,0.01713323,0.014718611,0.022077916,2000,29.43722169,1.12,0.203,1,0.054263648
156,2017-06-29,1,1.333,0.023571315,0.021706727,0.03256009,2000,43.41345389,1.12,0.213,1,0.013736552
145,2017-06-29,1,1.352,0.01329102,0.012644924,0.018967387,3000,37.93477313,1.12,0.232,1,0.001050601
143,2017-06-29,1,1.373,0.015951162,0.014553148,0.021829722,3000,43.65944317,1.119,0.254,1,0.001777746
144,2017-06-29,1,1.385,0.018202842,0.016815381,0.025223071,3000,50.44614288,1.2,0.265,1,0.001953518
142,2017-06-29,1,1.415,0.023814882,0.021995888,0.032993832,3000,65.98766414,1.119,0.296,1,0.002221876
151,2017-06-29,1,1.441,0.032482817,0.030520499,0.045780749,3500,106.8217474,1.12,0.321,0,0.037207949
47,2017-07-05,1,1.225,0.007364208,0.006609535,0.009914302,500,3.304767304,1.116,0.109,1,0.002103503
48,2017-07-05,1,1.231,0.012777648,0.011231287,0.016846931,500,5.615643545,1.116,0.115,1,0.001015098
49,2017-07-05,1,1.242,0.022665179,0.020290544,0.030435816,500,10.14527206,1.116,0.126,1,0.002483296
50,2017-07-05,1,1.247,0.005129802,0.004415757,0.006623636,1000,4.415757296,1.115,0.132,1,0.003369464
63,2017-07-05,1,1.251,0.008730148,0.008144527,0.012216791,1000,8.14452715,1.117,0.134,1,0.001053146
51,2017-07-05,1,1.254,0.007694019,0.007044912,0.010567367,1000,7.044911619,1.115,0.139,1,0.000945218
52,2017-07-05,1,1.27,0.014305871,0.013643025,0.020464538,1000,13.64302509,1.115,0.155,1,0.001845329
53,2017-07-05,1,1.284,0.022733376,0.020990423,0.031485634,1000,20.99042269,1.115,0.169,1,0.002103217
54,2017-07-05,1,1.295,0.014142766,0.013415507,0.020123261,2000,26.83101451,1.115,0.18,1,0.000773701
55,2017-07-05,1,1.3,0.015615535,0.014585341,0.021878011,2000,29.170681,1.115,0.185,1,0.000580161
56,2017-07-05,1,1.307,0.016381532,0.01555551,0.023333265,2000,31.11102021,1.115,0.192,1,0.001657052
